字,拼音,IPA,備註
燥,so3,sɔ3,
燥,co4,tsʰɔ4,
燭,zuaq5,tsuʌʔ5,
燬,huei3,xuei3,
燴,huae4,xuɛ4,
燻,xyueng1,ɕyəŋ1,
爆,bo4,pɔ4,
爍,suaq5,suʌʔ5,
爐,lou2,lɤu2,
爛,lang4,lã4,
爨,cuon4,tsʰuõ̞4,
爪,zo3,tsɔ3,
爪,zua3,tsua3,
爬,pa2,pʰa2,
爬,ba2,pa2,
爭,zeng1,tsəŋ1,
爰,yue2,yẽ̞2,
爵,jyuaq5,tɕyʌʔ5,
父,hu3,xu3,
爸,ba4,pa4,
爹,die1,tie̞1,
爺,ye2,ie̞2,
爻,nio2,ȵiɔ2,
爽,suon3,suõ̞3,
爾,er3,ər3,
牆,qiang2,tɕʰiã2,
牆,jyuo2,tɕyo̞2,
片,pie4,pʰie̞4,
片,pie3,pʰie̞3,
版,bang3,pã3,
牌,pae2,pʰɛ2,
牒,diaq6,tiʌʔ6,
牖,you3,iɤu3,
牘,duaq6,tuʌʔ6,
牙,nia2,ȵia2,
牛,niou2,ȵiɤu2,
牟,mu2,mu2,
牝,bi4,pi4,
牢,lo2,lɔ2,
牡,mu3,mu3,
牠,tuo1,tʰuo̞1,
牧,maq6,mʌʔ6,
物,waq6,uʌʔ6,
牲,seng1,səŋ1,
牯,gu3,ku3,
牴,di3,ti3,
特,taq5,tʰʌʔ5,
牽,qie1,tɕʰie̞1,
犁,li2,li2,
犄,yi1,i1,
犀,sei1,sei1,
犒,ko4,kʰɔ4,
犖,luaq6,luʌʔ6,
犛,li2,li2,
犢,duaq6,tuʌʔ6,
犧,xi1,ɕi1,
犬,qyue3,tɕʰyẽ̞3,
犯,huon4,xuõ̞4,
狄,diaq6,tiʌʔ6,
狂,kuon2,kʰuõ̞2,
狀,zuon4,tsuõ̞4,
狎,xiaq6,ɕiʌʔ6,
狙,jyu1,tɕy1,
狗,gou3,kɤu3,
狐,hu2,xu2,
狩,shou4,ʂɤu4,
狠,heng3,xəŋ3,
狡,jio3,tɕiɔ3,
狼,lang2,lã2,
狹,xiaq6,ɕiʌʔ6,
狽,bae4,pɛ4,
狸,li2,li2,
狷,jyue4,tɕyẽ̞4,
猜,cae1,tsʰɛ1,
猛,meng3,məŋ3,
猛,mia3,mia3,
猖,chang1,tʂʰã1,
猓,guo3,kuo̞3,
猙,zeng1,tsəŋ1,
猶,you2,iɤu2,
猥,wei3,uei3,
猴,hou2,xɤu2,
猩,xieng1,ɕiəŋ1,
猷,you2,iɤu2,
獅,sr1,sɿ1,
猿,yue2,yẽ̞2,
猾,huaq6,xuʌʔ6,
獄,yuaq6,yʌʔ6,
獐,zhang1,tʂã1,
獎,jiang3,tɕiã3,
獗,jyuaq6,tɕyʌʔ6,
獨,duaq6,tuʌʔ6,
獰,nieng2,ȵiəŋ2,
獲,huaq6,xuʌʔ6,
獷,guon3,kuõ̞3,
獵,liaq6,liʌʔ6,
獸,shou4,ʂɤu4,
獺,taq5,tʰʌʔ5,
獻,xie4,ɕie̞4,
玄,xyue2,ɕyẽ̞2,
率,suae4,suɛ4,
率,suaq5,suʌʔ5,
王,won2,uõ̞2,
王,wo2,uo̞2,
玉,yu4,y4,
玖,jiou3,tɕiɤu3,
玩,won4,uõ̞4,
玨,jyuaq5,tɕyʌʔ5,
玟,mae2,mɛ2,
玫,mae2,mɛ2,
玷,die4,tie̞4,
珊,sang1,sã1,
玻,bo1,pɔ1,
玲,lieng2,liəŋ2,
珍,zheng1,tʂəŋ1,
珀,piaq5,pʰiʌʔ5,
玳,dae4,tɛ4,
班,bang1,pã1,
琉,niou2,ȵiɤu2,
珮,pae4,pʰɛ4,
珠,zw1,tsʮ1,
琅,lang2,lã2,
琊,nia2,ȵia2,
球,qiou2,tɕʰiɤu2,
理,li3,li3,
現,xie4,ɕie̞4,
琺,huaq5,xuʌʔ5,
琪,qi2,tɕʰi2,
琳,lieng2,liəŋ2,
琢,zuaq5,tsuʌʔ5,
琥,hu3,xu3,
琵,pi2,pʰi2,
琶,pa2,pʰa2,
琴,qieng2,tɕʰiəŋ2,
瑯,lang2,lã2,
瑚,hu2,xu2,
瑕,xia2,ɕia2,
瑟,saq5,sʌʔ5,
瑞,zuei4,tsuei4,
瑁,mae4,mɛ4,
瑁,mo4,mɔ4,
琿,hueng2,xuəŋ2,
瑙,no3,ȵɔ3,
瑛,yeng1,iəŋ1,
瑜,yu2,y2,
瑤,yo2,iɔ2,
瑣,suo3,suo̞3,
瑪,ma3,ma3,
瑰,guei1,kuei1,
瑩,yeng2,iəŋ2,
璋,zhang1,tʂã1,
璃,li2,li2,
璜,huon2,xuõ̞2,
璣,ji1,tɕi1,
環,huon2,xuõ̞2,
璦,ngae4,ŋɛ4,
璧,biaq5,piʌʔ5,
璽,xi3,ɕi3,
瓊,qyueng2,tɕʰyəŋ2,
瓏,lueng2,luəŋ2,
瓜,gua1,kua1,
瓠,hu2,xu2,
瓢,pio2,pʰiɔ2,
瓣,bang4,pã4,
瓦,wa3,ua3,
瓶,pieng2,pʰiəŋ2,
瓷,cr2,tsʰɿ2,
瓷,zr2,tsɿ2,
甄,zheng1,tʂəŋ1,
甌,ngou1,ŋɤu1,
甕,weng4,uəŋ4,
甘,gang1,kã1,
甚,sheng4,ʂəŋ4,
甜,tie2,tʰie̞2,
甜,die2,tie̞2,
生,seng1,səŋ1,
生,she1,ʂʅɘ1,
產,cang3,tsʰã3,
甥,seng1,səŋ1,
甥,she1,ʂʅɘ1,
甦,sou1,sɤu1,
用,yueng4,yəŋ4,
甩,suae3,suɛ3,
甬,yueng3,yəŋ3,
甫,hu3,xu3,
田,tie2,tʰie̞2,
田,die2,tie̞2,
由,you2,iɤu2,
甲,jiaq5,tɕiʌʔ5,
申,sheng1,ʂəŋ1,
男,nang2,ȵã2,
甸,die4,tie̞4,
畏,wei4,uei4,
界,jie4,tɕie̞4,
畔,pang4,pʰã4,
畝,mu3,mu3,
畜,xyuaq5,ɕyʌʔ5,
畜,cuaq5,tsʰuʌʔ5,
畚,beng3,pəŋ3,
留,liou2,liɤu2,
略,lyuaq6,lyʌʔ6,
略,liaq6,liʌʔ6,
畦,huei2,xuei2,存疑
畢,biaq5,piʌʔ5,
異,yi4,i4,
畫,hua4,xua4,
番,huon2,xuõ̞2,
當,dang1,tã1,
當,duo1,tuo̞1,
畸,ji1,tɕi1,
疇,chou2,tʂʰɤu2,
疆,qiang1,tɕʰiã1,
疊,diaq6,tiʌʔ6,
疋,piaq5,pʰiʌʔ5,
疏,sw1,sʮ1,
疑,ni2,ȵi2,
疝,sang4,sã4,
疙,gaq6,kʌʔ6,
疚,jiou4,tɕiɤu4,
疫,yaq6,iʌʔ6,
疤,ba1,pa1,
疥,jie4,tɕie̞4,
疾,jiaq6,tɕiʌʔ6,
病,bieng4,piəŋ4,
症,zheng1,tʂəŋ1,
疲,pi2,pʰi2,
疳,gang1,kã1,
疽,jyu1,tɕy1,
疼,deng2,təŋ2,
疹,zheng3,tʂəŋ3,
痊,qyue1,tɕʰyẽ̞1,
痔,zhr4,tʂʅ4,
痕,heng2,xəŋ2,
疵,cr2,tsʰɿ2,
痢,li4,li4,
痛,tueng4,tʰuəŋ4,
痣,zr4,tsɿ4,
痙,jieng4,tɕiəŋ4,
痘,dou4,tɤu4,
痞,pi3,pʰi3,
瘀,yu4,y4,
痰,tang2,tʰã2,
瘁,cuei4,tsʰuei4,
痲,ma2,ma2,
痱,huei2,xuei2,
痺,bi4,pi4,
痿,wei3,uei3,
痴,chr1,tʂʰʅ1,
瘧,nyuaq6,ȵyʌʔ6,
瘍,yang2,iã2,
瘋,hueng1,xuəŋ1,
瘉,yu2,y2,
瘠,jiaq6,tɕiʌʔ6,
瘩,daq5,tʌʔ5,
瘟,weng1,uəŋ1,
瘤,liou2,liɤu2,
瘦,sou4,sɤu4,
瘡,cuon1,tsʰuõ̞1,
瘡,suo1,suo̞1,
瘴,zhang4,tʂã4,
瘸,qyue2,tɕʰyẽ̞2,
癆,lo4,lɔ4,
療,lio4,liɔ4,
癌,ngae3,ŋɛ3,
癖,piaq5,pʰiʌʔ5,
癘,li4,li4,
癒,yu3,y3,
癢,yang3,iã3,
癥,zheng1,tʂəŋ1,
癩,lae4,lɛ4,
癮,yeng3,iəŋ3,
癬,xie3,ɕie̞3,
癱,tang1,tʰã1,
癲,die1,tie̞1,
癸,guei3,kuei3,
登,deng1,təŋ1,
發,huaq5,xuʌʔ5,
白,biaq6,piʌʔ6,
白,bae2,pɛ2,
百,biaq5,piʌʔ5,
皂,zo4,tsɔ4,
的,diaq5,tiʌʔ5,
皆,jie1,tɕie̞1,
皇,huon2,xuõ̞2,
皈,guei1,kuei1,
皎,jio3,tɕiɔ3,
皖,won3,uõ̞3,
皓,ho4,xɔ4,
皚,ngae2,ŋɛ2,
皮,pi2,pʰi2,
皮,bi2,pi2,
皰,po4,pʰɔ4,
皴,qyueng1,tɕʰyəŋ1,
皺,zou4,tsɤu4,
皿,mieng3,miəŋ3,
盂,yu2,y2,
盈,yeng2,iəŋ2,
盆,peng2,pʰəŋ2,
盆,beng2,pəŋ2,
盃,bae1,pɛ1,
益,yaq5,iʌʔ5,
盍,haq6,xʌʔ6,
盎,ngang3,ŋã3,
盔,kuae1,kʰuɛ1,
盒,haq6,xʌʔ6,
盛,cheng2,tʂʰəŋ2,
盛,she2,ʂʅɘ2,
盜,do4,tɔ4,
盞,zang3,tsã3,
盟,meng2,məŋ2,
盡,jieng4,tɕiəŋ4,
監,jiang1,tɕiã1,
監,jiang4,tɕiã4,
盤,pang2,pʰã2,
盤,bang2,pã2,
盧,lou2,lɤu2,
盥,guon3,kuõ̞3,
盪,dang4,tã4,
目,maq6,mʌʔ6,
盯,dieng1,tiəŋ1,
盲,mang2,mã2,
直,zhaq6,tʂʌʔ6,
省,seng3,səŋ3,
盹,dueng3,tuəŋ3,
相,xiang1,ɕiã1,
相,xyuo1,ɕyo̞1,
相,xiang4,ɕiã4,
眉,mi2,mi2,
看,kang1,kʰã1,
盾,dueng4,tuəŋ4,
盼,pang4,pʰã4,
眩,xyue4,ɕyẽ̞4,
真,zheng1,tʂəŋ1,
眠,mie2,mie̞2,
眨,zaq5,tsʌʔ5,平翹記憶不清，存疑
眷,jyue4,tɕyẽ̞4,
眾,zueng1,tsuəŋ1,
眼,niang3,ȵiã3,
眶,kuon1,kʰuõ̞1,
眸,mu2,mu2,
眺,tio4,tʰiɔ4,
睏,kueng4,kʰuəŋ4,
睛,jieng1,tɕiəŋ1,
睛,zei1,tsei1,
睫,jiaq5,tɕiʌʔ5,
睦,maq6,mʌʔ6,
睞,lae4,lɛ4,
督,duaq5,tuʌʔ5,
睹,du3,tu3,
睪,go1,kɔ1,
睬,cae3,tsʰɛ3,
睜,zhe1,tʂʅɘ1,
睥,pi4,pʰi4,
睨,ni4,ȵi4,
瞄,mio3,miɔ3,
睽,kuei1,kʰuei1,
睿,zsuei4,zuei4,
睡,suei4,suei4,
瞎,haq5,xʌʔ5,
瞇,mi2,mi2,
瞌,kaq5,kʰʌʔ5,
瞑,mieng2,miəŋ2,
瞠,ceng1,tsʰəŋ1,
瞞,mang2,mã2,
瞟,pio3,pʰiɔ3,
瞥,piaq5,pʰiʌʔ5,
瞳,tueng2,tʰuəŋ2,
瞪,deng4,təŋ4,
瞰,kang4,kʰã4,
瞬,sueng4,suəŋ4,
瞧,qio2,tɕʰiɔ2,
瞭,lio2,liɔ2,
瞽,gu3,ku3,
瞿,qyu2,tɕʰy2,
瞻,zhang1,tʂã1,
矇,meng2,məŋ2,
矓,lueng2,luəŋ2,
矗,cuaq5,tsʰuʌʔ5,
矚,zuaq5,tsuʌʔ5,
矛,mo2,mɔ2,
矜,jieng1,tɕiəŋ1,
矢,sr3,sɿ3,
矣,yi3,i3,
知,zhr1,tʂʅ1,
矩,jyu3,tɕy3,
短,duon3,tuõ̞3,
矮,ngae3,ŋɛ3,
矯,jio3,tɕiɔ3,
石,shaq6,ʂʌʔ6,
矽,xiaq5,ɕiʌʔ5,
砂,sa1,sa1,
研,nie2,ȵie̞2,
砌,cei4,tsʰei4,
砍,kang3,kʰã3,
砰,peng1,pʰəŋ1,
砧,zheng1,tʂəŋ1,
砲,po4,pʰɔ4,
砸,zaq6,tsʌʔ6,
砝,huaq5,xuʌʔ5,
破,po4,pʰɔ4,
破,pei4,pʰei4,
砷,sheng1,ʂəŋ1,
砥,zr3,tsɿ3,
砭,bie1,pie̞1,
硫,liou2,liɤu2,
硃,zw1,tsʮ1,
硝,xio1,ɕiɔ1,
硬,nieng4,ȵiəŋ4,
硬,nie4,ȵie̞4,
硯,nie4,ȵie̞4,
碎,suae4,suɛ4,
碰,peng4,pʰəŋ4,
碗,won3,uõ̞3,
碘,die3,tie̞3,
碌,luaq6,luʌʔ6,
碉,dio1,tiɔ1,
硼,peng2,pʰəŋ2,
碑,bei1,pei1,
磁,cr2,tsʰɿ2,
碟,diaq6,tiʌʔ6,
碧,biaq5,piʌʔ5,
碳,tang4,tʰã4,
碩,shaq6,ʂʌʔ6,
碩,suaq6,suʌʔ6,
磋,cuo1,tsʰuo̞1,
磅,bang4,pã4,
確,qyuaq5,tɕʰyʌʔ5,
確,qiaq5,tɕʰiʌʔ5,
磊,luae3,luɛ3,
碾,nrang3,ɳã3,
磕,kaq5,kʰʌʔ5,
碼,ma3,ma3,
磐,pang2,pʰã2,
磨,mo2,mɔ2,
磨,mei2,mei2,
磚,zuon1,tsuõ̞1,
磬,qieng4,tɕʰiəŋ4,
磷,lieng2,liəŋ2,
磺,huon2,xuõ̞2,
磴,deng4,təŋ4,
磯,ji1,tɕi1,
礁,jio1,tɕiɔ1,
礎,cw3,tsʰʮ3,
礙,ngae4,ŋɛ4,
礦,kuon4,kʰuõ̞4,
礪,li4,li4,
礬,huon2,xuõ̞2,
礫,liaq6,liʌʔ6,
示,sr4,sɿ4,
社,she4,ʂʅɘ4,
祀,sr4,sɿ4,
祁,qi2,tɕʰi2,
祆,xie1,ɕie̞1,
祉,chr3,tʂʰʅ3,
祈,qi2,tɕʰi2,
祇,qi2,tɕʰi2,
祕,bi4,pi4,
祐,you4,iɤu4,
祠,cr2,tsʰɿ2,
祠,sr2,sɿ2,
祟,suei4,suei4,
祖,zou3,tsɤu3,
神,sheng2,ʂəŋ2,
祝,zuaq5,tsuʌʔ5,
祗,zr1,tsɿ1,
祚,zou4,tsɤu4,
祥,xiang2,ɕiã2,
票,pio4,pʰiɔ4,
祭,ji4,tɕi4,
祭,zei4,tsei4,
祺,qi2,tɕʰi2,
祿,luaq6,luʌʔ6,
禁,jieng1,tɕiəŋ1,
禁,jieng4,tɕiəŋ4,
禎,zheng1,tʂəŋ1,
福,huaq5,xuʌʔ5,
禍,huo4,xuo̞4,
禍,huei4,xuei4,
禦,yu4,y4,
禧,xi1,ɕi1,
禪,chang2,tʂʰã2,
禮,li3,li3,
禱,do3,tɔ3,
禹,yu3,y3,
萬,won4,uõ̞4,
禽,qieng2,tɕʰiəŋ2,
禾,huo2,xuo̞2,
私,sr1,sɿ1,
秀,xiou4,ɕiɤu4,
禿,tuaq5,tʰuʌʔ5,
秉,bieng3,piəŋ3,
科,kuo1,kʰuo̞1,
秒,mio3,miɔ3,
秋,qiou1,tɕʰiɤu1,
秤,cheng4,tʂʰəŋ4,
秣,maq6,mʌʔ6,
秧,yang1,iã1,
秧,yuo1,yo̞1,
租,zou1,tsɤu1,
秦,qieng2,tɕʰiəŋ2,
秩,zhaq5,tʂʌʔ5,
移,yi2,i2,
稍,so4,sɔ4,
稈,gang3,kã3,
程,cheng2,tʂʰəŋ2,
稅,suei4,suei4,
稀,xi1,ɕi1,
稜,leng2,ləŋ2,
稚,zhr4,tʂʅ4,
稠,chou2,tʂʰɤu2,
稠,zhou2,tʂɤu2,
稔,reng3,ɻəŋ3,
稟,bieng3,piəŋ3,
種,zueng3,tsuəŋ3,
種,zueng4,tsuəŋ4,
稱,cheng1,tʂʰəŋ1,
稿,go3,kɔ3,
稼,jia4,tɕia4,
穀,guaq5,kuʌʔ5,
稽,ji1,tɕi1,
稷,jiaq5,tɕiʌʔ5,
稻,do4,tɔ4,
積,jiaq5,tɕiʌʔ5,
穎,yeng3,iəŋ3,
穆,maq6,mʌʔ6,
穌,sou1,sɤu1,
穗,suei4,suei4,
穗,xyu4,ɕy4,
穡,saq5,sʌʔ5,
穢,huei4,xuei4,
穫,huaq6,xuʌʔ6,
穩,weng3,uəŋ3,
穴,xyuaq6,ɕyʌʔ6,
究,jiou4,tɕiɤu4,
空,kueng1,kʰuəŋ1,
穹,qyueng1,tɕʰyəŋ1,
穿,cuon1,tsʰuõ̞1,
突,tuaq5,tʰuʌʔ5,
窄,zaq5,tsʌʔ5,
窄,zhaq5,tʂʌʔ5,
窈,yo3,iɔ3,
窒,zhaq5,tʂʌʔ5,
窕,tio3,tʰiɔ3,
窘,jyueng4,tɕyəŋ4,
窗,cuon1,tsʰuõ̞1,
窗,suo1,suo̞1,
窖,jio4,tɕiɔ4,
窟,kuaq5,kʰuʌʔ5,
窠,kuo1,kʰuo̞1,
窪,wa1,ua1,
窩,wo1,uo̞1,
窩,wei1,uei1,
窯,yo2,iɔ2,
窮,qyueng2,tɕʰyəŋ2,
窮,jyueng2,tɕyəŋ2,
窺,kuei1,kʰuei1,
竄,cuon4,tsʰuõ̞4,
竅,qio4,tɕʰiɔ4,
竇,dou4,tɤu4,
竊,qiaq5,tɕʰiʌʔ5,
立,liaq6,liʌʔ6,
站,zang4,tsã4,
童,tueng2,tʰuəŋ2,
竣,jyueng4,tɕyəŋ4,
竭,jiaq6,tɕiʌʔ6,
端,duon1,tuõ̞1,
競,jieng4,tɕiəŋ4,
竹,zuaq5,tsuʌʔ5,
竺,duaq5,tuʌʔ5,
竿,gang1,kã1,
竽,yu2,y2,
笆,ba1,pa1,
笑,xio4,ɕiɔ4,
笠,liaq6,liʌʔ6,
笨,beng4,pəŋ4,
笛,diaq6,tiʌʔ6,
第,di4,ti4,
符,hu2,xu2,
笙,seng1,səŋ1,
笞,chr1,tʂʰʅ1,
等,deng3,təŋ3,
策,caq5,tsʰʌʔ5,
筆,biaq5,piʌʔ5,
筐,kuon1,kʰuõ̞1,
筐,kuo1,kʰuo̞1,
筒,tueng3,tʰuəŋ3,
答,daq6,tʌʔ6,
筍,sueng3,suəŋ3,
筋,jieng1,tɕiəŋ1,
筏,huaq6,xuʌʔ6,
筷,kuae4,kʰuɛ4,
節,jiaq5,tɕiʌʔ5,
筠,yueng2,yəŋ2,
管,guon3,kuõ̞3,
箕,ji1,tɕi1,
箋,jie1,tɕie̞1,
筵,ye2,ie̞2,
算,suon3,suõ̞3,
箝,qie2,tɕʰie̞2,
箔,baq6,pʌʔ6,
箏,zheng1,tʂəŋ1,
箭,jie4,tɕie̞4,
箱,xiang1,ɕiã1,
範,huon4,xuõ̞4,
箴,zheng1,tʂəŋ1,
篆,zuon4,tsuõ̞4,
篇,pie1,pʰie̞1,
篁,huon2,xuõ̞2,
篙,go1,kɔ1,
簑,suo1,suo̞1,
築,zuaq5,tsuʌʔ5,
篤,duaq5,tuʌʔ5,
篛,zsuaq6,zuʌʔ6,
篡,cuon4,tsʰuõ̞4,
篩,sae1,sɛ1,
簇,qyuaq5,tɕʰyʌʔ5,
簍,lou2,lɤu2,
篾,miaq6,miʌʔ6,
篷,peng2,pʰəŋ2,
簫,xio1,ɕiɔ1,
簧,huon2,xuõ̞2,
簪,zeng1,tsəŋ1,
簪,zang1,tsã1,
簞,dang1,tã1,
簣,guei4,kuei4,
簡,jiang3,tɕiã3,
簾,lie2,lie̞2,
簿,bu4,pu4,
簸,bo3,pɔ3,
簽,qie1,tɕʰie̞1,
簷,ye2,ie̞2,
籌,chou2,tʂʰɤu2,
籃,lang2,lã2,
籍,jiaq6,tɕiʌʔ6,
籐,teng2,tʰəŋ2,
籠,lueng2,luəŋ2,
籟,lae4,lɛ4,
籤,qie1,tɕʰie̞1,
籬,li2,li2,
籮,luo2,luo̞2,
籮,lei2,lei2,
籲,yu4,y4,
米,mi3,mi3,
粉,hueng3,xuəŋ3,
粒,liaq6,liʌʔ6,
粗,cou1,tsʰɤu1,
粟,xyuaq5,ɕyʌʔ5,
粥,zuaq5,tsuʌʔ5,
粱,liang2,liã2,
粱,luo2,luo̞2,
粳,geng1,kəŋ1,
粵,yuaq6,yʌʔ6,
粹,cuei4,tsʰuei4,
粽,jyueng4,tɕyəŋ4,
精,jieng1,tɕiəŋ1,
精,zei1,tsei1,
糊,hu2,xu2,
糕,go1,kɔ1,
糖,tang2,tʰã2,
糠,kang1,kʰã1,
糠,kuo1,kʰuo̞1,
糜,mi2,mi2,
糞,hueng4,xuəŋ4,
糟,zo1,tsɔ1,
糙,co4,tsʰɔ4,
糧,liang2,liã2,
糧,luo2,luo̞2,
糯,nuon3,ȵuõ̞3,存疑
糸,miaq6,miʌʔ6,
系,xi4,ɕi4,
糾,jiou3,tɕiɤu3,
紂,zhou4,tʂɤu4,
紅,hueng2,xuəŋ2,
紀,ji3,tɕi3,
紉,reng4,ɻəŋ4,
紇,haq6,xʌʔ6,
約,yuaq5,yʌʔ5,
紡,huon3,xuõ̞3,
紡,huo3,xuo̞3,
紗,sa1,sa1,
紋,weng2,uəŋ2,
紊,weng3,uəŋ3,
素,sou4,sɤu4,
索,saq5,sʌʔ5,
純,cueng2,tsʰuəŋ2,
紐,nrou3,ɳɤu3,
紕,pi2,pʰi2,
級,jiaq6,tɕiʌʔ6,
紜,yueng2,yəŋ2,
納,naq6,ȵʌʔ6,
紙,zr3,tsɿ3,
紛,hueng1,xuəŋ1,
絆,bang4,pã4,
絃,xie2,ɕie̞2,
統,tueng4,tʰuəŋ4,傳統讀去聲如統共
紮,zaq5,tsʌʔ5,
紹,sho4,ʂɔ4,
紼,huaq5,xuʌʔ5,
絀,cuaq5,tsʰuʌʔ5,
細,sei4,sei4,
紳,sheng1,ʂəŋ1,
組,zou3,tsɤu3,
累,luei3,luei3,
終,zueng1,tsuəŋ1,
絞,jio3,tɕiɔ3,
結,jiaq5,tɕiʌʔ5,
絨,zsueng2,zuəŋ2,
絕,jyuaq6,tɕyʌʔ6,
紫,zr3,tsɿ3,
絮,xyu4,ɕy4,
絲,sr1,sɿ1,
絡,laq6,lʌʔ6,
給,jiaq5,tɕiʌʔ5,
給,jyu3,tɕy3,
絢,xyue4,ɕyẽ̞4,
經,jieng1,tɕiəŋ1,
經,ji1,tɕi1,
絹,jyue4,tɕyẽ̞4,
綑,kueng3,kʰuəŋ3,
綁,bang3,pã3,
綏,suei1,suei1,
綻,zang4,tsã4,
綰,won3,uõ̞3,
綜,zueng1,tsuəŋ1,
綽,cuaq5,tsʰuʌʔ5,
綾,lieng2,liəŋ2,
綠,luaq6,luʌʔ6,
緊,jieng3,tɕiəŋ3,
綴,zuei4,tsuei4,
網,won3,uõ̞3,
綱,gang1,kã1,
綺,qi3,tɕʰi3,
綢,chou2,tʂʰɤu2,
綿,mie2,mie̞2,
綵,cae3,tsʰɛ3,
綸,lueng2,luəŋ2,
維,wei2,uei2,
緒,xyu4,ɕy4,
緇,zr1,tsɿ1,
締,di4,ti4,
練,lie4,lie̞4,
練,lyue4,lyẽ̞4,
緯,wei3,uei3,
緻,zhr4,tʂʅ4,
緘,jiang1,tɕiã1,
緬,mie3,mie̞3,
緝,qiaq5,tɕʰiʌʔ5,
編,bie1,pie̞1,
緣,yue2,yẽ̞2,
線,xie4,ɕie̞4,
緞,duon4,tuõ̞4,
緩,huon4,xuõ̞4,
綞,duo3,tuo̞3,
縊,yi4,i4,
縑,jie1,tɕie̞1,
縈,yeng2,iəŋ2,
縛,huaq6,xuʌʔ6,
縣,xie4,ɕie̞4,
縮,suaq5,suʌʔ5,
縮,cuaq5,tsʰuʌʔ5,
績,jiaq5,tɕiʌʔ5,
繆,mu2,mu2,
縷,luei3,luei3,
縲,luei2,luei2,
繃,beng1,pəŋ1,
縫,hueng2,xuəŋ2,
總,zueng3,tsuəŋ3,
縱,zueng4,tsuəŋ4,
繅,so1,sɔ1,
繁,huon2,xuõ̞2,
織,zhaq5,tʂʌʔ5,
繕,shang4,ʂã4,
繞,ro3,ɻɔ3,
繚,lio2,liɔ2,
繡,xiou4,ɕiɤu4,
繫,ji4,tɕi4,
繫,xi4,ɕi4,
繭,jie3,tɕie̞3,
繹,yaq6,iʌʔ6,
繩,sheng2,ʂəŋ2,
繩,shr2,ʂʅ2,
繪,huae4,xuɛ4,
辮,bie4,pie̞4,
繽,pieng1,pʰiəŋ1,
繼,ji4,tɕi4,
纂,zuon3,tsuõ̞3,
纏,chang2,tʂʰã2,
續,xyuaq6,ɕyʌʔ6,
纓,yeng1,iəŋ1,
纖,xie1,ɕie̞1,
纜,lang3,lã3,
缶,hu3,xu3,
缸,huo2,xuo̞2,
缸,gang1,kã1,
缺,qyuaq5,tɕʰyʌʔ5,
缽,baq5,pʌʔ5,
罄,qieng4,tɕʰiəŋ4,
罈,tang2,tʰã2,
罐,guon4,kuõ̞4,
罕,hang3,xã3,
罔,won3,uõ̞3,
罟,gu3,ku3,
置,zhr4,tʂʅ4,
罩,zo4,tsɔ4,
罪,zuae4,tsuɛ4,
署,sw4,sʮ4,
罰,huaq6,xuʌʔ6,
罵,ma3,ma3,
罷,ba4,pa4,
罹,li2,li2,
羅,luo2,luo̞2,
羅,lei2,lei2,
羈,ji1,tɕi1,
羊,yang2,iã2,
羊,yuo2,yo̞2,
羌,qiang1,tɕʰiã1,
羋,mi3,mi3,
美,mei3,mei3,
羔,go1,kɔ1,
羞,xiou1,ɕiɤu1,
羚,lieng2,liəŋ2,
善,shang4,ʂã4,
義,ni4,ȵi4,
羨,xie4,ɕie̞4,
群,qyueng2,tɕʰyəŋ2,
羯,jiaq5,tɕiʌʔ5,
羲,xi1,ɕi1,
羶,shang1,ʂã1,
羹,geng1,kəŋ1,
羹,jie1,tɕie̞1,
羸,luei2,luei2,
羽,yu3,y3,
羿,ni4,ȵi4,
翅,sr4,sɿ4,
翅,cr4,tsʰɿ4,
翁,weng1,uəŋ1,
翌,yaq6,iʌʔ6,
翎,lieng2,liəŋ2,
習,xiaq6,ɕiʌʔ6,
翔,xiang2,ɕiã2,
翕,xiaq5,ɕiʌʔ5,
翠,cuei4,tsʰuei4,
翡,huei3,xuei3,
翟,zaq6,tsʌʔ6,
翟,zhaq6,tʂʌʔ6,
翩,pie1,pʰie̞1,
翰,hang4,xã4,
翱,ngo2,ŋɔ2,
翳,yi1,i1,
翼,yaq6,iʌʔ6,
翹,qio2,tɕʰiɔ2,
翹,qio4,tɕʰiɔ4,
翻,huon1,xuõ̞1,
耀,yo4,iɔ4,
老,lo3,lɔ3,
考,ko3,kʰɔ3,
者,zhe3,tʂʅɘ3,
耆,qi2,tɕʰi2,
而,er2,ər2,
耐,nae4,ȵɛ4,
耍,sua3,sua3,
耒,luei3,luei3,
耘,yueng2,yəŋ2,
耕,geng1,kəŋ1,
耕,jie1,tɕie̞1,
耙,pa1,pʰa1,
耗,ho4,xɔ4,
耜,sr4,sɿ4,
耳,er3,ər3,
耶,ye2,ie̞2,
耽,dang1,tã1,
耿,geng3,kəŋ3,
聊,lio2,liɔ2,
聆,lieng2,liəŋ2,
聖,sheng4,ʂəŋ4,
聘,pieng4,pʰiəŋ4,
聞,weng2,uəŋ2,
聚,jyu4,tɕy4,
聱,ngo2,ŋɔ2,
聲,sheng1,ʂəŋ1,
聲,shr1,ʂʅ1,
聰,cueng1,tsʰuəŋ1,
聯,lyue2,lyẽ̞2,
聳,sueng3,suəŋ3,
職,zhaq5,tʂʌʔ5,
聶,nraq6,ɳʌʔ6,
聾,lueng2,luəŋ2,
聽,tieng1,tʰiəŋ1,
