字,拼音,IPA,備註
囀,zuon4,tsuõ̞4,
囂,xio1,ɕiɔ1,
囈,ni4,ȵi4,
囊,nang2,ȵã2,
囉,luo2,luo̞2,
囌,sou1,sɤu1,
囑,zuaq5,tsuʌʔ5,
四,sr4,sɿ4,
囚,qiou2,tɕʰiɤu2,
因,yeng1,iəŋ1,
回,huae2,xuɛ2,
囪,cueng1,tsʰuəŋ1,
困,kueng4,kʰuəŋ4,
囤,dueng2,tuəŋ2,
固,gu4,ku4,
圃,bu3,pu3,
圈,jyue4,tɕyẽ̞4,
圈,qyue3,tɕʰyẽ̞3,
圈,qyue1,tɕʰyẽ̞1,
國,guaq5,kuʌʔ5,
圍,wei2,uei2,
圍,yu2,y2,
園,yue2,yẽ̞2,
圓,yue2,yẽ̞2,
團,tuon2,tʰuõ̞2,
圖,tu2,tʰu2,
土,tu3,tʰu3,
圳,zheng4,tʂəŋ4,
地,di4,ti4,
在,zae4,tsɛ4,
圭,guei1,kuei1,
圬,wu1,u1,
圯,yi2,i2,
坊,huon2,xuõ̞2,
坑,keng1,kʰəŋ1,
址,zr3,tsɿ3,
坍,tang1,tʰã1,
均,jyueng1,tɕyəŋ1,
坎,kang3,kʰã3,
圾,saq5,sʌʔ5,
圾,jiaq5,tɕiʌʔ5,
坐,zuo4,tsuo̞4,
坐,jyue4,tɕyẽ̞4,
坏,pae1,pʰɛ1,
垃,laq5,lʌʔ5,
垃,la1,la1,
坷,ko3,kʰɔ3,
坪,pieng2,pʰiəŋ2,
坩,gang1,kã1,
坡,po1,pʰɔ1,
坡,pei1,pʰei1,
坦,tang3,tʰã3,
坤,kueng1,kʰuəŋ1,
坼,caq5,tsʰʌʔ5,
垂,cuei2,tsʰuei2,
型,xieng2,ɕiəŋ2,
垠,nieng2,ȵiəŋ2,
垣,yue2,yẽ̞2,
垢,gou3,kɤu3,
城,cheng2,tʂʰəŋ2,
城,shr2,ʂʅ2,
垮,kua3,kʰua3,
埂,geng1,kəŋ1,
埂,jia1,tɕia1,
埔,pu3,pʰu3,
埋,mae2,mɛ2,
埃,ngae1,ŋɛ1,
域,yuaq6,yʌʔ6,
堅,jie1,tɕie̞1,
堊,ngaq5,ŋʌʔ5,
堆,duae1,tuɛ1,
埠,bu4,pu4,
埤,pi2,pʰi2,
基,ji1,tɕi1,
堂,tang2,tʰã2,
堂,duo2,tuo̞2,
堵,du3,tu3,
執,zhaq5,tʂʌʔ5,
培,pae2,pʰɛ2,
培,bae2,pɛ2,
堯,nio2,ȵiɔ2,
堪,kang1,kʰã1,
